URL,Location
https://www. facebook.com/USCCinema,outUSC
https://www.youtube. com/user/USCCinematicArts,outUSC
http://sundance.usc.edu/,USC
http://cinema.usc.edu/ifactory/css/style.css,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/assets/styles/custom.css,OK
http://cinema.usc.edu/userfiles/D5012C7CAD86DD134D88E39E61B4ECA5A65FC1D7images/sundance2014.jpg,OK
https://www. facebook.com/USCCinema,outUSC
https://www.youtube. com/user/USCCinematicArts,outUSC
http://games.usc.edu/,USC
http://cinema.usc.edu/userfiles/D5012C7CAD86DD134D88E39E61B4ECA5A65FC1D7images/Fullerton_Tracy(1).jpg,OK
http://cinema.usc.edu/ifactory/css/style.css,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/assets/styles/custom.css,OK
https://www. facebook.com/USCCinema,outUSC
http://cinema.usc.edu/userfiles/88843E08A5C4D78BE5A8C7305802CBA5DD87115Dimages/Paralect2.png,OK
https://www.youtube. com/user/USCCinematicArts,outUSC
http://cinema.usc.edu/ifactory/css/style.css,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/assets/styles/custom.css,OK
https://www. facebook.com/USCCinema,outUSC
https://www.youtube. com/user/USCCinematicArts,outUSC
http://cinema.usc.edu/ifactory/css/style.css,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/assets/styles/custom.css,OK
https://www. facebook.com/USCCinema,outUSC
http://cinema.usc.edu/images/galleries/0037/3CAFAC5C_009E_31EC_51BEF8A655BC8BC5.jpg,OK
http://cinema.usc.edu/userfiles/83C3B6A25F311FFA9135D8D85CB291D601109F60images/sunset_boulevard_poster.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA5FA04_DA47_06DA_2812A49839592196.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA5F6CD_BE90_0746_4FCB43F0825ADB1D.jpg,OK
http://cinema.usc.edu/images/galleries/0037/thumbs/3CAE6A65_DF23_8B49_9D976EB9245E2BA7.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CACF52B_9A52_FD59_1544A81FCBBB86E5.jpg,OK
http://cinema.usc.edu/ifactory/css/style.css,OK
http://cinema.usc.edu/images/galleries/0037/3CB4D2F6_D043_BE73_AD98E43477FC3CF8.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA5F623_0CAB_99F7_4A6D2F879C7D0606.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CB4FB32_B3BB_BE36_2BA93F2F49541600.jpg,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/userfiles/83C3B6A25F311FFA9135D8D85CB291D601109F60images/winterbottom_poster(1).jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CB25FEB_C422_C030_F83E6448A9D01989.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CAFCFC9_B90D_03F2_856162F0880EFFC3.jpg,OK
https://www.youtube. com/user/USCCinematicArts,outUSC
http://cinema.usc.edu/images/galleries/0037/3CAE6A65_DF23_8B49_9D976EB9245E2BA7.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CABD05D_AF70_AE2D_FCF1D9D144A95C09.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA8EF75_98A5_5C65_916741A49633945F.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA903BF_D962_2E76_D27E78FFF775107D.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CA88BC7_F029_777B_735DDF23AFD0F471.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CABD42B_C1F2_DB57_05A28321D92C3FDA.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CB51350_ADEC_863E_FB220F431E05189C.jpg,OK
http://cinema.usc.edu/images/galleries/0037/3CB260E8_0D03_4076_2FC7BA31AD0CAC5C.jpg,OK
http://cinema.usc.edu/assets/styles/custom.css,OK
http://cinema.usc.edu/images/galleries/0037/3CB0E6B8_0FA6_4B17_1865F25613FF26C3.jpg,OK
https://www. facebook.com/USCCinema,outUSC
https://www.youtube. com/user/USCCinematicArts,outUSC
http://cinema.usc.edu/ifactory/css/style.css,OK
http://www.usc.edu/,USC
http://cinema.usc.edu/assets/styles/custom.css,OK
http://cinema.usc.edu/userfiles/83C3B6A25F311FFA9135D8D85CB291D601109F60images/feige1.jpg,OK
